Cust_id,Cust_name,Cust_address,Cust_bn_cd,Cust_SSN,Cust_cvrg_EFFT_date,Cust_cvrg_term_date,Cust_Email,Cust_PH_NUM
1001,chandu,Hyderabad,VSN,134567,2019-12-01,2024-12-12,chandu@gmail.com,9876543211
1002,bhargav,noida,DNT,182707,2018-06-15,2023-06-15,bhargav23@gmail.com,8967543210
1003,pranathi,Hyderabad,PDP,152951,2018-07-22,2023-07-22,pranathi31@gmail.com,9012345678
1004,jack,mumbai,MED,188277,2022-04-15,2027-04-15,jack@gmail.com,9234567810
1005,moni,chennai,PDP,146771,2018-06-02,2023-06-02,moni@gmail.com,8901234567
1006,ram,chennai,VSN,160217,2022-07-10,2027-07-10,ram15@gmail.com,7890123456
1007,devi,gujarat,MED,159559,2022-10-03,2027-10-03,devi@gmail.com,7123456890
1008,john,Hyderabad,DNT,146712,2019-10-06,2014-10-06,john19@gmail.com,9182736450
1009,roshan,Noida,VSN,186084,2020-06-15,2025-06-15,roshan22@gmail.com,6976238872
1010,shaurya,mumbai,VSN,171213,2021-07-22,2026-07-22,shaurya@gmail.com,6279367340
1002,bhargav,banglore,DNT,182707,2018-06-15,2023-06-15,bhargav23@gmail.com,8967543210
1003,pranathi,Hyderabad,PDP,152951,2022-07-07,2027-07-07,pranathi31@gmail.com,9012345678
1006,ram,chennai,VSN,160217,2022-07-10,2027-07-10,ram15@gmail.com,9567843210
1011,john,Hyderabad,PDP,145782,2022-04-15,2027-04-15,john@gmail.com,8916200090
1012,keerthi,chennai,VSN,186602,2018-06-02,2023-06-02,keerthi@gmail.com,8242500410
1013,Sham,Delhi,PDP,123566,2020-04-12,2022-10-12,Sham112@gmail.com,9550001233
1014,kiran,Hyderabad,VSN,125362,2009-12-31,9999-12-31,kirankumar@gmail.com,8712349000
1015,devi,banglore,MED,178923,2001-12-12,2010-12-06,devi114@gmail.com,7008453782
1016,hari,chennai,DNT,125678,2022-05-13,2025-12-09,hari444@gmail.com,9050342897
1004,jack,mumbai,DNT,188277,2022-10-15,2030-08-15,jack@gmail.com,9234567810
1009,roshan,Delhi,VSN,186084,2020-06-15,2025-06-15,roshan11@gmail.com,6976238872
1011,john,Hyderabad,MED,145782,2023-04-15,2029-04-15,john@gmail.com,8916200090
1013,Sham,Delhi,VSN,123566,2020-04-12,2022-10-12,Sham112@gmail.com,9550001233
1017,Anoop,Pune,DNT,157858,2002-06-01,2004-07-01,anoop1@gmai.com,7890678906
1018,Naira,Udaipur,MED,109847,2005-07-03,2006-08-03,naira12@gmail.com,6457890432
1019,Reena,Jaipur,VSN,160547,2004-07-09,2006-08-09,reena67@gmail.com,8675432087
1018,Naira,Udaipur,PDP,109847,2005-07-03,2006-08-03,naira12@gmail.com,6457890432
1020,Ruhi,Trivandrum,GYN,145678,2001-08-12,2002-09-12,ruhi7@gmail.com,8765439089
1021,Abhir,Haryana,DRM,125670,2007-09-07,2008-10-07,abhir4@gmail.com,7905468123
